timestamp,anxiety_detected,active_symptoms,duration_seconds
2026-05-03 17:39:47,False,,120.1
2026-05-03 17:40:17,False,,150.1
2026-05-03 17:40:47,False,,180.1
2026-05-03 17:41:17,False,rapid_breathing,210.1
2026-05-03 17:41:47,False,,240.2
2026-05-03 17:42:17,False,,270.2
2026-05-03 17:42:47,False,,300.2
2026-05-03 17:43:17,False,,330.2
2026-05-03 17:43:47,False,,360.3
2026-05-03 17:44:17,False,rapid_breathing,390.3
2026-05-03 17:44:47,False,,420.3
2026-05-03 17:45:17,False,,450.3
2026-05-03 17:45:47,False,,480.3
2026-05-03 17:46:17,False,,510.3
2026-05-03 17:46:47,False,,540.4
2026-05-03 17:47:17,False,,570.4
2026-05-03 17:47:47,False,,600.4
2026-05-03 17:48:17,False,,630.4
2026-05-03 17:48:47,False,,660.5
2026-05-03 17:49:17,False,,690.5
2026-05-03 17:51:59,False,,0.8
2026-05-03 17:52:29,False,,30.0
2026-05-03 17:52:59,False,,60.0
2026-05-03 21:36:15,False,,0.7
2026-05-03 21:36:45,False,,30.0
2026-05-03 21:37:15,False,rapid_breathing,60.1
2026-05-03 21:37:45,False,rapid_breathing,90.1
2026-05-03 21:39:22,False,,0.6
2026-05-03 21:39:52,False,rapid_breathing,30.0
2026-05-03 21:40:22,False,,60.0
2026-05-03 21:53:40,False,,0.6
2026-05-03 21:54:10,False,,30.0
2026-05-03 21:56:01,False,,0.6
2026-05-03 21:56:31,False,,30.0
2026-05-03 21:57:01,False,rapid_breathing,60.1
2026-05-03 22:25:43,False,,0.6
2026-05-03 22:26:11,False,,0.5
2026-05-03 22:27:10,False,,0.6
2026-05-03 22:28:17,False,,0.6
2026-05-03 22:29:36,False,,0.7
2026-05-03 22:30:06,False,rapid_breathing,30.0
2026-05-03 22:39:18,False,,0.6
2026-05-03 22:39:48,False,,30.0
2026-05-03 22:40:18,False,,60.0
2026-05-03 22:42:48,False,,0.6
2026-05-03 22:43:18,False,,30.0
2026-05-03 22:43:49,False,,0.5
2026-05-03 22:44:19,False,rapid_breathing,30.0
2026-05-07 19:54:48,False,rapid_breathing,330.2
2026-05-07 19:57:39,False,,0.7
2026-05-07 19:58:06,True,"hand_tremor,rapid_breathing",26.6
2026-05-07 19:58:07,False,rapid_breathing,1.0
2026-05-07 19:58:18,True,"hand_tremor,rapid_breathing",10.6
2026-05-07 19:58:18,False,rapid_breathing,0.1
2026-05-07 19:58:48,False,,30.0
2026-05-07 19:59:03,True,"hand_tremor,rapid_breathing",45.6
2026-05-07 19:59:04,False,rapid_breathing,0.6
2026-05-07 19:59:04,True,"hand_tremor,rapid_breathing",0.4
2026-05-07 19:59:05,False,rapid_breathing,0.3
2026-05-07 19:59:08,True,"hand_tremor,rapid_breathing",3.5
2026-05-07 19:59:08,False,rapid_breathing,0.3
2026-05-07 19:59:30,True,"hand_tremor,rapid_breathing",22.0
2026-05-07 19:59:31,False,rapid_breathing,0.3
2026-05-07 20:00:01,False,,30.0
2026-05-07 20:00:09,True,"hand_tremor,rapid_breathing",38.4
2026-05-07 20:00:09,False,rapid_breathing,0.1
2026-05-07 20:00:39,False,rapid_breathing,30.0
2026-05-07 20:00:41,True,"hand_tremor,rapid_breathing",32.2
2026-05-07 20:00:42,False,rapid_breathing,0.4
2026-05-07 20:01:01,True,"hand_tremor,rapid_breathing",19.4
2026-05-07 20:01:02,False,rapid_breathing,0.4
2026-05-07 20:01:04,True,"hand_tremor,rapid_breathing",2.3
2026-05-07 20:01:05,False,rapid_breathing,0.6
2026-05-07 20:01:10,True,"hand_tremor,rapid_breathing",5.8
2026-05-07 20:01:11,False,rapid_breathing,0.5
2026-05-07 20:01:11,True,"hand_tremor,rapid_breathing",0.3
2026-05-07 20:01:11,False,rapid_breathing,0.3
2026-05-07 20:01:22,True,"hand_tremor,rapid_breathing",10.8
2026-05-07 20:01:23,False,rapid_breathing,0.4
2026-05-07 20:01:25,True,"hand_tremor,rapid_breathing",2.0
2026-05-07 20:01:25,False,rapid_breathing,0.4
2026-05-07 20:01:35,True,"hand_tremor,rapid_breathing",10.4
2026-05-07 20:01:36,False,rapid_breathing,0.3
2026-05-07 20:02:06,False,rapid_breathing,30.0
2026-05-07 20:02:10,True,"hand_tremor,rapid_breathing",34.0
2026-05-07 20:02:10,False,rapid_breathing,0.6
